long,long,long,long,str,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,flags,str,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,long,long,long,long,flags,long,str,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,float,long,long
131,-1,-1,0,"Journeyman in First Aid",,,,,,,,,,,,,,,,0xFF01FE,"Become a Journeyman in first aid.",,,,,,,,,,,,,,,,16712190,172,10,1,0x0,504,"",,,,,,,,,,,,,,,,2,34187437617291E-38,0,0
154,-1,529,0,"Arathi Basin Victory",,,,,,,,,,,,,,,,0xFF01FE,"Win Arathi Basin.",,,,,,,,,,,,,,,,16712190,14802,10,1,0x0,3381,"",,,,,,,,,,,,,,,,2,34187437617291E-38,0,0
166,-1,489,0,"Warsong Gulch Victory",,,,,,,,,,,,,,,,0xFF01FE,"Win Warsong Gulch.",,,,,,,,,,,,,,,,16712190,14804,10,1,0x0,3387,"",,,,,,,,,,,,,,,,2,34187437617291E-38,0,0
193,-1,-1,0,"Largest hit dealt",,,,,,,,,,,,,,,,0xFF01FE,"Largest hit dealt",,,,,,,,,,,,,,,,16712190,141,0,1,0x1,4,"",,,,,,,,,,,,,,,,2,34187437617291E-38,0,0
208,-1,566,0,"Eye of the Storm Victory",,,,,,,,,,,,,,,,0xFF01FE,"Win Eye of the Storm.",,,,,,,,,,,,,,,,16712190,14803,10,1,0x0,3384,"",,,,,,,,,,,,,,,,2,34187437617291E-38,0,0
218,-1,30,0,"Alterac Valley Victory",,,,,,,,,,,,,,,,0xFF01FE,"Win Alterac Valley.",,,,,,,,,,,,,,,,16712190,14801,10,1,0x0,3377,"",,,,,,,,,,,,,,,,2,34187437617291E-38,0,0
238,-1,-1,0,"An Honorable Kill",,,,,,,,,,,,,,,,0xFF01FE,"Achieve an honorable kill.",,,,,,,,,,,,,,,,16712190,95,10,1,0x0,3454,"",,,,,,,,,,,,,,,,2,34187437617291E-38,0,0
263,-1,-1,0,"Ice the Frost Lord",,,,,,,,,,,,,,,,0xFF01FE,"Slay Ahune in the Slave Pens.",,,,,,,,,,,,,,,,16712190,161,10,1,0x0,94,"",,,,,,,,,,,,,,,,2,34187437617291E-38,1,0
273,-1,-1,0,"On Metzen!",,,,,,,,,,,,,,,,0xFF01FE,"Save Metzen the Reindeer.",,,,,,,,,,,,,,,,16712190,156,10,1,0x0,3703,"",,,,,,,,,,,,,,,,2,34187437617291E-38,1,0
319,-1,-1,0,"Duels won",,,,,,,,,,,,,,,,0xFF01FE,"Duels won",,,,,,,,,,,,,,,,16712190,154,0,1,0x1,4,"",,,,,,,,,,,,,,,,2,34187437617291E-38,0,0
321,-1,-1,0,"Total raid and dungeon deaths",,,,,,,,,,,,,,,,0xFF01FE,"Total raid and dungeon deaths",,,,,,,,,,,,,,,,16712190,125,0,1,0x9,4,"",,,,,,,,,,,,,,,,2,34187437617291E-38,0,0
328,-1,-1,0,"Total gold acquired",,,,,,,,,,,,,,,,0xFF01FE,"Total gold acquired",,,,,,,,,,,,,,,,16712190,140,0,1,0x9,4,"",,,,,,,,,,,,,,,,2,34187437617291E-38,0,0
344,-1,-1,0,"Bandages used",,,,,,,,,,,,,,,,0xFF01FE,"Bandages used",,,,,,,,,,,,,,,,16712190,145,0,1,0x9,4,"",,,,,,,,,,,,,,,,2,34187437617291E-38,0,0
349,-1,-1,0,"Flight paths taken",,,,,,,,,,,,,,,,0xFF01FE,"Flight paths taken",,,,,,,,,,,,,,,,16712190,134,0,1,0x1,4,"",,,,,,,,,,,,,,,,2,34187437617291E-38,0,0
377,-1,-1,0,"Most factions at Exalted",,,,,,,,,,,,,,,,0xFF01FE,"Most factions at Exalted",,,,,,,,,,,,,,,,16712190,147,0,1,0x1,4,"",,,,,,,,,,,,,,,,2,34187437617291E-38,0,0
397,-1,-1,0,"Step Into The Arena",,,,,,,,,,,,,,,,0xFF01FE,"Win a ranked arena match at level 80.",,,,,,,,,,,,,,,,16712190,165,10,1,0x0,3601,"",,,,,,,,,,,,,,,,2,34187437617291E-38,0,0
457,-1,-1,0,"Realm First! Level 80",,,,,,,,,,,,,,,,0xFF01FE,"First person on the realm to achieve level 80.",,,,,,,,,,,,,,,,16712190,81,0,1,0x100,3275,"",,,,,,,,,,,,,,,,2,34187437617291E-38,0,0
477,-1,574,0,"Utgarde Keep",,,,,,,,,,,,,,,,0xFF01FE,"Defeat the bosses in Utgarde Keep.",,,,,,,,,,,,,,,,16712190,14806,10,1,0x0,3226,"",,,,,,,,,,,,,,,,2,34187437617291E-38,0,0
489,-1,574,0,"Heroic: Utgarde Keep",,,,,,,,,,,,,,,,0xFF01FE,"Defeat the Utgarde Keep bosses on Heroic Difficulty.",,,,,,,,,,,,,,,,16712190,14921,10,1,0x0,3225,"",,,,,,,,,,,,,,,,2,34187409591322E-38,0,0
503,-1,-1,0,"50 Quests Completed",,,,,,,,,,,,,,,,0xFF01FE,"Complete 50 quests.",,,,,,,,,,,,,,,,16712190,96,10,1,0x0,3421,"",,,,,,,,,,,,,,,,2,34187437617291E-38,0,0
522,-1,-1,0,"Somebody Likes Me",,,,,,,,,,,,,,,,0xFF01FE,"Raise a reputation to Exalted.",,,,,,,,,,,,,,,,16712190,201,10,1,0x0,3609,"",,,,,,,,,,,,,,,,2,34187437617291E-38,0,0
588,-1,-1,0,"Total Honorable Kills",,,,,,,,,,,,,,,,0xFF01FE,"Total Honorable Kills",,,,,,,,,,,,,,,,16712190,136,0,1,0x1,1,"",,,,,,,,,,,,,,,,2,34187437617291E-38,0,0
605,-1,-1,0,"A Coin of Ancestry",,,,,,,,,,,,,,,,0xFF01FE,"Receive a Coin of Ancestry.",,,,,,,,,,,,,,,,16712190,160,10,1,0x0,2717,"",,,,,,,,,,,,,,,,2,34187437617291E-38,0,0
625,-1,615,0,"Besting the Black Dragonflight (25 player)",,,,,,,,,,,,,,,,0xFF01FE,"Defeat Sartharion the Onyx Guardian in 25-player mode.",,,,,,,,,,,,,,,,16712190,14923,25,1,0x0,3255,"",,,,,,,,,,,,,,,,2,34187409591322E-38,0,0
629,-1,-1,0,"Ragefire Chasm",,,,,,,,,,,,,,,,0xFF01FE,"Defeat Taragaman the Hungerer.",,,,,,,,,,,,,,,,16712190,14808,10,1,0x0,1983,"",,,,,,,,,,,,,,,,2,34187409591322E-38,1,0
647,-1,-1,0,"Hellfire Ramparts",,,,,,,,,,,,,,,,0xFF01FE,"Defeat Omor the Unscarred.",,,,,,,,,,,,,,,,16712190,14805,10,1,0x0,3680,"",,,,,,,,,,,,,,,,2,34187437617291E-38,1,0
728,-1,-1,0,"Explore Durotar",,,,,,,,,,,,,,,,0xFF01FE,"Explore Durotar, revealing the covered areas of the world map.",,,,,,,,,,,,,,,,16712190,14778,10,1,0x0,3532,"",,,,,,,,,,,,,,,,2,34187437617291E-38,0,0
763,0,-1,0,"The Burning Crusader",,,,,,,,,,,,,,,,0xFF01FE,"Raise all of The Burning Crusade dungeon reputations to exalted.",,,,,,,,,,,,,,,,16712190,14865,20,1,0x0,2365,"",,,,,,,,,,,,,,,,2,34187437617291E-38,0,0
776,-1,-1,0,"Explore Elwynn Forest",,,,,,,,,,,,,,,,0xFF01FE,"Explore Elwynn Forest, revealing the covered areas of the world map.",,,,,,,,,,,,,,,,16712190,14777,10,1,0x0,3536,"",,,,,,,,,,,,,,,,2,34187437617291E-38,0,0
796,-1,-1,0,"Resurrected by priests",,,,,,,,,,,,,,,,0xFF01FE,"Resurrected by priests",,,,,,,,,,,,,,,,16712190,127,0,1,0x9,1,"",,,,,,,,,,,,,,,,2,34187437617291E-38,0,0
837,-1,-1,0,"Arenas won",,,,,,,,,,,,,,,,0xFF01FE,"Arenas won",,,,,,,,,,,,,,,,16712190,152,0,1,0x9,1,"",,,,,,,,,,,,,,,,2,34187437617291E-38,0,0
839,-1,-1,0,"Battlegrounds played",,,,,,,,,,,,,,,,0xFF01FE,"Battlegrounds played",,,,,,,,,,,,,,,,16712190,153,0,1,0x9,1,"",,,,,,,,,,,,,,,,2,34187437617291E-38,0,0
862,-1,-1,0,"Explore Hellfire Peninsula",,,,,,,,,,,,,,,,0xFF01FE,"Explore  Hellfire Peninsula, revealing the covered areas of the world map.",,,,,,,,,,,,,,,,16712190,14779,10,1,0x0,3554,"",,,,,,,,,,,,,,,,2,34187437617291E-38,0,0
913,-1,-1,0,"To Honor One's Elders",,,,,,,,,,,,,,,,0xFF01FE,"Complete the Lunar Festival achievements listed below.",,,,,,,,,,,,,,,,16712190,155,30,1,0x0,3698,"Title Reward: Elder",,,,,,,,,,,,,,,,2,34187661825046E-38,0,0
927,-1,-1,0,"Equipped epic items in item slots",,,,,,,,,,,,,,,,0xFF01FE,"Equipped epic items in item slots",,,,,,,,,,,,,,,,16712190,191,0,1,0x21,1,"",,,,,,,,,,,,,,,,2,34187437617291E-38,0,0
932,-1,-1,0,"Total 5-player dungeons entered",,,,,,,,,,,,,,,,0xFF01FE,"Total 5-player dungeons entered",,,,,,,,,,,,,,,,16712190,14807,0,1,0x1,1,"",,,,,,,,,,,,,,,,2,34187437617291E-38,0,0
939,-1,-1,0,"Hills Like White Elekk",,,,,,,,,,,,,,,,0xFF01FE,"Complete all of Hemet Nesingwary quests in Nagrand up to and including The Ultimate Bloodsport.",,,,,,,,,,,,,,,,16712190,14862,10,1,0x0,2165,"",,,,,,,,,,,,,,,,2,34187437617291E-38,0,0
940,-1,-1,0,"The Green Hills of Stranglethorn",,,,,,,,,,,,,,,,0xFF01FE,"Complete all of Hemet Nesingwary quests in Stranglethorn Vale up to and including The Green Hills of Stranglethorn and Big Game Hunter.",,,,,,,,,,,,,,,,16712190,14861,10,1,0x0,916,"",,,,,,,,,,,,,,,,2,34187437617291E-38,0,0
946,-1,-1,0,"The Argent Dawn",,,,,,,,,,,,,,,,0xFF01FE,"Earn exalted status with the Argent Dawn.",,,,,,,,,,,,,,,,16712190,14864,15,1,0x0,1608,"",,,,,,,,,,,,,,,,2,34187437617291E-38,0,0
947,-1,-1,0,"The Argent Crusade",,,,,,,,,,,,,,,,0xFF01FE,"Earn exalted status with the Argent Crusade.",,,,,,,,,,,,,,,,16712190,14866,15,1,0x0,1672,"",,,,,,,,,,,,,,,,2,34187437617291E-38,0,0
972,-1,-1,0,"Trick or Treat!",,,,,,,,,,,,,,,,0xFF01FE,"Receive a handful of a candy from one of the Candy Buckets located in an inn.",,,,,,,,,,,,,,,,16712190,158,10,1,0x0,2652,"",,,,,,,,,,,,,,,,2,34187437617291E-38,0,0
1042,-1,-1,0,"Number of hugs",,,,,,,,,,,,,,,,0xFF01FE,"Number of hugs",,,,,,,,,,,,,,,,16712190,131,0,1,0x1,1,"",,,,,,,,,,,,,,,,2,34187437617291E-38,0,0
1057,-1,-1,0,"Deaths in 2v2",,,,,,,,,,,,,,,,0xFF01FE,"Deaths in 2v2",,,,,,,,,,,,,,,,16712190,123,0,1,0x1,1,"",,,,,,,,,,,,,,,,2,34187437617291E-38,0,0
1068,-1,542,0,"Keli'dan the Breaker kills (The Blood Furnace)",,,,,,,,,,,,,,,,0xFF01FE,"Keli'dan the Breaker kills (The Blood Furnace)",,,,,,,,,,,,,,,,16712190,14822,5,1,0x1,541,"",,,,,,,,,,,,,,,,2,34187437617291E-38,0,0
1091,-1,36,0,"Edwin VanCleef kills (Deadmines)",,,,,,,,,,,,,,,,0xFF01FE,"Edwin VanCleef kills (Deadmines)",,,,,,,,,,,,,,,,16712190,14821,5,1,0x1,2692,"",,,,,,,,,,,,,,,,2,34187437617291E-38,0,0
1149,-1,-1,0,"Talent tree respecs",,,,,,,,,,,,,,,,0xFF01FE,"Talent tree respecs",,,,,,,,,,,,,,,,16712190,130,0,1,0x1,1,"",,,,,,,,,,,,,,,,2,34187437617291E-38,0,0
1184,1,-1,0,"Strange Brew",,,,,,,,,,,,,,,,0xFF01FE,"Drink the Brewfest beers listed below.",,,,,,,,,,,,,,,,16712190,162,10,1,0x0,1780,"",,,,,,,,,,,,,,,,2,34187437617291E-38,0,0
1197,-1,-1,0,"Total kills",,,,,,,,,,,,,,,,0xFF01FE,"Total kills",,,,,,,,,,,,,,,,16712190,128,0,1,0x9,1,"",,,,,,,,,,,,,,,,2,34187437617291E-38,0,0
1199,-1,-1,0,"Professions learned",,,,,,,,,,,,,,,,0xFF01FE,"Professions learned",,,,,,,,,,,,,,,,16712190,132,0,1,0x21,1,"",,,,,,,,,,,,,,,,2,34187437617291E-38,0,0
1242,-1,574,0,"Ingvar the Plunderer kills (Utgarde Keep)",,,,,,,,,,,,,,,,0xFF01FE,"Ingvar the Plunderer kills (Utgarde Keep)",,,,,,,,,,,,,,,,16712190,14823,5,1,0x1,2813,"",,,,,,,,,,,,,,,,4,23703948044372E37,0,0
1264,-1,-1,0,"Explore Borean Tundra",,,,,,,,,,,,,,,,0xFF01FE,"Explore Borean Tundra, revealing the covered areas of the world map.",,,,,,,,,,,,,,,,16712190,14780,10,1,0x0,3330,"",,,,,,,,,,,,,,,,4,23703948044372E37,0,0
1283,-1,-1,0,"Classic Dungeonmaster",,,,,,,,,,,,,,,,0xFF01FE,"Complete the classic dungeon achievements listed below.",,,,,,,,,,,,,,,,16712190,168,10,1,0x0,1949,"",,,,,,,,,,,,,,,,4,23703948044372E37,0,0
1308,-1,607,0,"Strand of the Ancients Victory",,,,,,,,,,,,,,,,0xFF01FE,"Win Strand of the Ancients.",,,,,,,,,,,,,,,,16712190,14881,10,1,0x0,3402,"",,,,,,,,,,,,,,,,4,23703897338348E37,0,0
1487,-1,-1,0,"Total Killing Blows",,,,,,,,,,,,,,,,0xFF01FE,"Total Killing Blows",,,,,,,,,,,,,,,,16712190,137,0,1,0x1,1,"",,,,,,,,,,,,,,,,2,64814935836468E36,0,0
1501,-1,-1,0,"Total deaths from other players",,,,,,,,,,,,,,,,0xFF01FE,"Total deaths from other players",,,,,,,,,,,,,,,,16712190,21,0,1,0x1,1,"",,,,,,,,,,,,,,,,4,23703897338348E37,0,0
1524,-1,-1,0,"Cooking skill",,,,,,,,,,,,,,,,0xFF01FE,"Cooking skill",,,,,,,,,,,,,,,,16712190,178,0,1,0x1,1,"",,,,,,,,,,,,,,,,2,64814935836468E36,0,0
1527,-1,-1,0,"Highest Alchemy skill",,,,,,,,,,,,,,,,0xFF01FE,"Highest Alchemy skill",,,,,,,,,,,,,,,,16712190,173,0,1,0x1,1,"",,,,,,,,,,,,,,,,2,64814935836468E36,0,0
1701,-1,-1,0,"Be Mine!",,,,,,,,,,,,,,,,0xFF01FE,"Eat the eight Bag of Candies heart candies listed below.""",,,,,,,,,,,,,,,,16712190,187,10,1,0x0,3196,"",,,,,,,,,,,,,,,,6,62037339591169E35,0,0
1717,-1,571,0,"Wintergrasp Victory",,,,,,,,,,,,,,,,0xFF01FE,"Win the battle for Wintergrasp.",,,,,,,,,,,,,,,,16712190,14901,10,1,0x0,187,"",,,,,,,,,,,,,,,,1,69481558935339E38,0,0
1791,-1,-1,0,"Home Alone",,,,,,,,,,,,,,,,0xFF01FE,"Use your Hearthstone while your orphan is with you.",,,,,,,,,,,,,,,,16712190,163,10,1,0x0,776,"",,,,,,,,,,,,,,,,2,64814935836468E36,0,0
1876,-1,615,0,"Besting the Black Dragonflight (10 player)",,,,,,,,,,,,,,,,0xFF01FE,"Defeat Sartharion the Onyx Guardian in 10-player mode.",,,,,,,,,,,,,,,,16712190,14922,10,1,0x0,3254,"",,,,,,,,,,,,,,,,1,69481558935339E38,0,0
2676,-1,-1,0,"I Found One!",,,,,,,,,,,,,,,,0xFF01FE,"Find a Brightly Colored Egg.",,,,,,,,,,,,,,,,16712190,159,10,1,0x0,3202,"",,,,,,,,,,,,,,,,4,23703897338348E37,0,0
2756,-1,-1,0,"Argent Aspiration",,,,,,,,,,,,,,,,0xFF01FE,"Train to compete in the Argent Tournament by becoming an Aspirant for your race's faction.",,,,,,,,,,,,,,,,16712190,14941,10,1,0x0,3805,"",,,,,,,,,,,,,,,,4,23703897338348E37,1,0
2856,-1,603,0,"Flame Leviathan kills (Ulduar 10 player)",,,,,,,,,,,,,,,,0xFF01FE,"Flame Leviathan kills (Ulduar 10 player)",,,,,,,,,,,,,,,,16712190,14963,10,1,0x1,1700,"",,,,,,,,,,,,,,,,4,23703897338348E37,0,0
2886,-1,603,0,"The Siege of Ulduar (10 player)",,,,,,,,,,,,,,,,0xFF01FE,"Defeat the bosses of The Siege area of Ulduar in 10-player mode.",,,,,,,,,,,,,,,,16712190,14961,10,1,0x0,3844,"",,,,,,,,,,,,,,,,4,23703897338348E37,0,0
2887,-1,603,0,"The Siege of Ulduar (25 player)",,,,,,,,,,,,,,,,0xFF01FE,"Defeat the bosses of The Siege area of Ulduar in 25-player mode.",,,,,,,,,,,,,,,,16712190,14962,10,1,0x0,3844,"",,,,,,,,,,,,,,,,4,23703897338348E37,0,0
3579,-1,-1,0,"FOOD FIGHT!",,,,,,,,,,,,,,,,0xFF01FE,"Bounce food off a fellow feaster's head at a Bountiful Table.",,,,,,,,,,,,,,,,16712190,14981,10,1,0x0,456,"",,,,,,,,,,,,,,,,2,35069919338185E-38,1,0
3776,-1,628,0,"Isle of Conquest Victory",,,,,,,,,,,,,,,,0xFF01FE,"Win Isle of Conquest.",,,,,,,,,,,,,,,,16712190,15003,10,1,0x0,4002,"",,,,,,,,,,,,,,,,2,34280932250831E-38,0,0
3916,-1,-1,0,"Call of the Crusade (25 player)",,,,,,,,,,,,,,,,0xFF01FE,"Defeat every boss in the Trial of the Crusader in 25-player mode.",,,,,,,,,,,,,,,,16712190,15002,10,1,0x0,3744,"",,,,,,,,,,,,,,,,1,53872173788439E-33,0,0
3917,-1,-1,0,"Call of the Crusade (10 player)",,,,,,,,,,,,,,,,0xFF01FE,"Defeat every boss in the Trial of the Crusader in 10-player mode.",,,,,,,,,,,,,,,,16712190,15001,10,1,0x0,3744,"",,,,,,,,,,,,,,,,1,53872026851645E-33,0,0
4018,-1,-1,0,"Victories over Hunter Champion (Trial of the Champion)",,,,,,,,,,,,,,,,0xFF01FE,"Victories over Hunter Champion (Trial of the Champion)",,,,,,,,,,,,,,,,16712190,15021,0,1,0x1,1,"",,,,,,,,,,,,,,,,2,34187409591322E-38,0,0
4531,-1,631,0,"Storming the Citadel (10 player)",,,,,,,,,,,,,,,,0xFF01FE,"Defeat the first four bosses in Icecrown Citadel in 10-player mode.",,,,,,,,,,,,,,,,16712190,15041,10,1,0x0,4167,"",,,,,,,,,,,,,,,,2,34187409591322E-38,0,0
4604,-1,631,0,"Storming the Citadel (25 player)",,,,,,,,,,,,,,,,0xFF01FE,"Defeat the first four bosses in Icecrown Citadel in 25-player mode.",,,,,,,,,,,,,,,,16712190,15042,10,1,0x0,4167,"",,,,,,,,,,,,,,,,2,34187633799076E-38,0,0
4713,-1,-1,0,"Bronjahm kills (Forge of Souls)",,,,,,,,,,,,,,,,0xFF01FE,"",,,,,,,,,,,,,,,,16712188,15062,0,1,0x5,1,"",,,,,,,,,,,,,,,,2,34187633799076E-38,0,0
7,-1,-1,6,"Level 20",,,,,,,,,,,,,,,,0xFF01FE,"Reach level 20.",,,,,,,,,,,,,,,,16712190,92,10,2,0x4,3269,"",,,,,,,,,,,,,,,,2,34187437617291E-38,0,0
43,-1,-1,0,"Explore Kalimdor",,,,,,,,,,,,,,,,0xFF01FE,"Explore the regions of Kalimdor.",,,,,,,,,,,,,,,,16712190,97,25,2,0x0,3491,"",,,,,,,,,,,,,,,,2,34187437617291E-38,0,0
59,-1,529,0,"Deaths in Arathi Basin",,,,,,,,,,,,,,,,0xFF01FE,"Deaths in Arathi Basin",,,,,,,,,,,,,,,,16712190,124,0,2,0x1,1,"",,,,,,,,,,,,,,,,2,34187437617291E-38,0,0
95,-1,-1,0,"Average quests completed per day",,,,,,,,,,,,,,,,0xFF01FE,"Average quests completed per day",,,,,,,,,,,,,,,,16712190,133,0,2,0x49,0,"",,,,,,,,,,,,,,,,2,34187437617291E-38,0,98
122,-1,-1,121,"Expert Cook",,,,,,,,,,,,,,,,0xFF01FE,"Become an Expert Cook.",,,,,,,,,,,,,,,,16712190,170,10,2,0x0,1467,"",,,,,,,,,,,,,,,,2,34187437617291E-38,0,0
127,-1,-1,126,"Expert Fisherman",,,,,,,,,,,,,,,,0xFF01FE,"Become an Expert Fisherman.",,,,,,,,,,,,,,,,16712190,171,10,2,0x0,580,"",,,,,,,,,,,,,,,,2,34187437617291E-38,0,0
132,-1,-1,131,"Expert in First Aid",,,,,,,,,,,,,,,,0xFF01FE,"Become an Expert in first aid.",,,,,,,,,,,,,,,,16712190,172,10,2,0x0,504,"",,,,,,,,,,,,,,,,2,34187437617291E-38,0,0
155,-1,529,154,"Arathi Basin Veteran",,,,,,,,,,,,,,,,0xFF01FE,"Complete 100 victories in Arathi Basin.",,,,,,,,,,,,,,,,16712190,14802,10,2,0x0,3382,"",,,,,,,,,,,,,,,,2,34187437617291E-38,0,0
167,-1,489,166,"Warsong Gulch Veteran",,,,,,,,,,,,,,,,0xFF01FE,"Complete 100 victories in Warsong Gulch.",,,,,,,,,,,,,,,,16712190,14804,10,2,0x0,3388,"",,,,,,,,,,,,,,,,2,34187437617291E-38,0,0
209,-1,566,208,"Eye of the Storm Veteran",,,,,,,,,,,,,,,,0xFF01FE,"Complete 100 victories in Eye of the Storm.",,,,,,,,,,,,,,,,16712190,14803,10,2,0x0,3385,"",,,,,,,,,,,,,,,,2,34187437617291E-38,0,0
219,-1,30,218,"Alterac Valley Veteran",,,,,,,,,,,,,,,,0xFF01FE,"Complete 100 victories in Alterac Valley.",,,,,,,,,,,,,,,,16712190,14801,10,2,0x0,3378,"",,,,,,,,,,,,,,,,2,34187437617291E-38,0,0
252,-1,-1,0,"With a Little Helper from My Friends",,,,,,,,,,,,,,,,0xFF01FE,"Earn 50 honorable kills as a Little Helper from the Winter Wondervolt machine.",,,,,,,,,,,,,,,,16712190,156,10,2,0x88,3679,"",,,,,,,,,,,,,,,,2,34187437617291E-38,0,0
260,-1,-1,0,"Charming",,,,,,,,,,,,,,,,0xFF01FE,"Create 12 Lovely Charm Bracelets.",,,,,,,,,,,,,,,,16712190,187,10,2,0x0,4134,"",,,,,,,,,,,,,,,,2,34187437617291E-38,0,0
271,-1,-1,0,"Burning Hot Pole Dance",,,,,,,,,,,,,,,,0xFF01FE,"Dance at the ribbon pole for 60 seconds while wearing completed Midsummer set.",,,,,,,,,,,,,,,,16712190,161,10,2,0x0,3262,"",,,,,,,,,,,,,,,,2,34187437617291E-38,0,0
288,-1,-1,0,"Out With It",,,,,,,,,,,,,,,,0xFF01FE,"Eat so many Tricky Treats that you get an upset tummy.",,,,,,,,,,,,,,,,16712190,158,10,2,0x0,97,"",,,,,,,,,,,,,,,,2,34187437617291E-38,0,0
318,-1,-1,0,"Total deaths from opposite faction",,,,,,,,,,,,,,,,0xFF01FE,"",,,,,,,,,,,,,,,,16712190,21,0,2,0x1,4,"",,,,,,,,,,,,,,,,2,34187437617291E-38,0,0
320,-1,-1,0,"Duels lost",,,,,,,,,,,,,,,,0xFF01FE,"Duels lost",,,,,,,,,,,,,,,,16712190,154,0,2,0x1,4,"",,,,,,,,,,,,,,,,2,34187437617291E-38,0,0
342,-1,-1,0,"Epic items acquired",,,,,,,,,,,,,,,,0xFF01FE,"Epic items acquired",,,,,,,,,,,,,,,,16712190,191,0,2,0x1,4,"",,,,,,,,,,,,,,,,2,34187437617291E-38,0,0
378,-1,-1,0,"Most factions at Revered or higher",,,,,,,,,,,,,,,,0xFF01FE,"Most factions at Revered or higher",,,,,,,,,,,,,,,,16712190,147,0,2,0x1,4,"",,,,,,,,,,,,,,,,2,34187437617291E-38,0,0
381,-1,-1,0,"World Honorable Kills",,,,,,,,,,,,,,,,0xFF01FE,"World Honorable Kills",,,,,,,,,,,,,,,,16712190,136,0,2,0x9,4,"",,,,,,,,,,,,,,,,2,34187437617291E-38,0,0
398,-1,-1,397,"Mercilessly Dedicated",,,,,,,,,,,,,,,,0xFF01FE,"Win 100 ranked arena matches at level 80.",,,,,,,,,,,,,,,,16712190,165,10,2,0x0,3593,"",,,,,,,,,,,,,,,,2,34187437617291E-38,0,0
467,-1,-1,0,"Realm First! Level 80 Shaman",,,,,,,,,,,,,,,,0xFF01FE,"First shaman on the realm to achieve level 80.",,,,,,,,,,,,,,,,16712190,81,0,2,0x100,38,"",,,,,,,,,,,,,,,,2,34187437617291E-38,0,0
478,-1,576,0,"The Nexus",,,,,,,,,,,,,,,,0xFF01FE,"Defeat the bosses in The Nexus.",,,,,,,,,,,,,,,,16712190,14806,10,2,0x0,3227,"",,,,,,,,,,,,,,,,2,34187437617291E-38,0,0
490,-1,576,0,"Heroic: The Nexus",,,,,,,,,,,,,,,,0xFF01FE,"Defeat The Nexus bosses on Heroic Difficulty.",,,,,,,,,,,,,,,,16712190,14921,10,2,0x0,3228,"",,,,,,,,,,,,,,,,2,34187409591322E-38,0,0
